year,rank,title,artist
2000,1,Breathe,Faith Hill
2000,2,Smooth,Santana featuring Rob Thomas
2000,3,Maria Maria,Santana featuring The Product G&B
2000,4,I Wanna Know,Joe
2000,5,Everything You Want,Vertical Horizon
2000,6,Say My Name,Destiny's Child
2000,7,I Knew I Loved You,Savage Garden
2000,8,Amazed,Lonestar
2000,9,Bent,Matchbox Twenty
2000,10,He Wasn't Man Enough,Toni Braxton
2000,11,Higher,Creed
2000,12,Try Again,Aaliyah
2000,13,"Jumpin', Jumpin'",Destiny's Child
2000,14,Thong Song,Sisqó
2000,15,Kryptonite,3 Doors Down
2000,16,There You Go,Pink
2000,17,Music,Madonna
2000,18,Doesn't Really Matter,Janet Jackson
2000,19,What a Girl Wants,Christina Aguilera
2000,20,Back at One,Brian McKnight
2000,21,Bye Bye Bye,NSYNC
2000,22,You Sang to Me,Marc Anthony
2000,23,I Need to Know,Marc Anthony
2000,24,Get It On Tonite,Montell Jordan
2000,25,Incomplete,Sisqó
2000,26,I Try,Macy Gray
2000,27,It's Gonna Be Me,NSYNC
2000,28,That's the Way It Is,Celine Dion
2000,29,Country Grammar (Hot Shit),Nelly
2000,30,Bring It All to Me,Blaque
2000,31,Show Me the Meaning of Being Lonely,Backstreet Boys
2000,32,Hot Boyz,"Missy Elliott featuring Nas, Eve and Q-Tip"
2000,33,Back Here,BBMak
2000,34,It Feels So Good,Sonique
2000,35,Absolutely (Story of a Girl),Nine Days
2000,36,With Arms Wide Open,Creed
2000,37,Be with You,Enrique Iglesias
2000,38,Come On Over Baby (All I Want Is You),Christina Aguilera
2000,39,No More,Ruff Endz
2000,40,All the Small Things,Blink-182
2000,41,The Way You Love Me,Faith Hill
2000,42,I Turn to You,Christina Aguilera
2000,43,Never Let You Go,Third Eye Blind
2000,44,I Need You,LeAnn Rimes
2000,45,Thank God I Found You,Mariah Carey featuring Joe and 98 Degrees
2000,46,Let's Get Married,Jagged Edge
2000,47,My Love Is Your Love,Whitney Houston
2000,48,Then the Morning Comes,Smash Mouth
2000,49,Blue (Da Ba Dee),Eiffel 65
2000,50,Desert Rose,Sting featuring Cheb Mami
2000,51,The Real Slim Shady,Eminem
2000,52,Most Girls,Pink
2000,53,Wifey,Next
2000,54,Wonderful,Everclear
2000,55,Oops!... I Did It Again,Britney Spears
2000,56,I Wanna Love You Forever,Jessica Simpson
2000,57,Give Me Just One Night (Una Noche),98 Degrees
2000,58,Take a Picture,Filter
2000,59,Otherside,Red Hot Chili Peppers
2000,60,Big Pimpin',Jay-Z featuring UGK
2000,61,Purest of Pain (A Puro Dolor),Son by Four
2000,62,He Can't Love U,Jagged Edge
2000,63,Separated,Avant
