category,title,image,price,rating,reviews
mens-shirts,Blue & Black Check Shirt,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp,1699,4.5,77
mens-shirts,Gigabyte Aorus Men Tshirt,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp,1524,4.0,1726
mens-shirts,Man Plaid Shirt,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp,666,4.6,3004
mens-shirts,Man Short Sleeve Shirt,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp,503,4.5,893
mens-shirts,Men Check Shirt,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp,1756,4.5,3135
womens-dresses,Black Women's Gown,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp,3956,3.9,3251
womens-dresses,Corset Leather With Skirt,https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp,2899,4.1,1250
womens-dresses,Corset With Black Skirt,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp,2305,4.2,2421
womens-dresses,Dress Pea,https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp,1406,4.2,2791
womens-dresses,Marni Red & Black Suit,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp,2681,4.7,3255
tops,Blue Frock,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp,981,4.1,919
tops,Girl Summer Dress,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp,996,3.8,1367
tops,Gray Dress,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp,1190,4.3,375
tops,Short Frock,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp,737,3.8,2203
tops,Tartan Dress,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp,1259,4.3,365
