category,title,image,price,rating,reviews
furniture,Annibale Colombo Bed,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,25478,4.4,364
furniture,Annibale Colombo Sofa,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,69383,4.5,1222
furniture,Bedside Table African Cherry,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,45341,4.2,1184
furniture,Knoll Saarinen Executive Conference Chair,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,10421,4.0,1141
furniture,Wooden Bathroom Sink With Mirror,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,33742,4.4,621
home-decoration,Decoration Swing,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp,2755,4.2,3641
home-decoration,Family Tree Photo Frame,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp,6379,4.6,415
home-decoration,House Showpiece Plant,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp,5796,4.4,1022
home-decoration,Plant Pot,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp,1427,4.5,3436
home-decoration,Table Lamp,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp,4047,4.6,1471
kitchen-accessories,Bamboo Spatula,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp,239,4.1,3480
kitchen-accessories,Black Aluminium Cup,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp,2529,3.9,5691
kitchen-accessories,Black Whisk,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp,2148,4.4,4015
kitchen-accessories,Boxed Blender,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp,941,3.7,6384
kitchen-accessories,Carbon Steel Wok,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp,369,3.9,4154
kitchen-accessories,Chopping Board,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp,1902,4.0,4112
kitchen-accessories,Citrus Squeezer Yellow,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp,1681,4.3,1625
kitchen-accessories,Egg Slicer,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp,1234,4.2,5308
kitchen-accessories,Electric Stove,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp,815,4.1,2943
kitchen-accessories,Fine Mesh Strainer,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp,808,4.2,2775
kitchen-accessories,Fork,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp,2914,4.5,4050
kitchen-accessories,Glass,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp,1289,4.3,5351
kitchen-accessories,Grater Black,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp,2281,3.7,7664
kitchen-accessories,Hand Blender,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp,383,4.3,7311
kitchen-accessories,Ice Cube Tray,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp,2497,3.9,7120
kitchen-accessories,Kitchen Sieve,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp,565,4.5,3364
kitchen-accessories,Knife,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp,1236,4.2,2842
kitchen-accessories,Lunch Box,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp,2562,4.2,6796
kitchen-accessories,Microwave Oven,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp,2023,4.3,1978
kitchen-accessories,Mug Tree Stand,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp,1904,3.9,2613
kitchen-accessories,Pan,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp,2750,3.9,2635
kitchen-accessories,Plate,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp,330,4.2,1765
kitchen-accessories,Red Tongs,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp,2141,4.1,956
kitchen-accessories,Silver Pot With Glass Cap,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp,2893,3.9,4766
kitchen-accessories,Slotted Turner,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp,1560,4.1,3417
kitchen-accessories,Spice Rack,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp,1133,4.1,5854
kitchen-accessories,Spoon,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp,614,4.4,1292
kitchen-accessories,Tray,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp,2782,3.8,6304
kitchen-accessories,Wooden Rolling Pin,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp,2637,3.9,1793
kitchen-accessories,Yellow Peeler,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp,1588,4.2,4229
