category,title,image,price,rating,reviews
mens-shoes,Nike Air Jordan 1 Red And Black,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp,5250,4.3,2955
mens-shoes,Nike Baseball Cleats,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp,3364,3.9,2104
mens-shoes,Puma Future Rider Trainers,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp,7929,4.0,1952
mens-shoes,Sports Sneakers Off White & Red,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp,4659,4.4,592
mens-shoes,Sports Sneakers Off White Red,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp,8462,4.5,4541
womens-shoes,Black & Brown Slipper,https://cdn.dummyjson.com/product-images/womens-shoes/black-&-brown-slipper/thumbnail.webp,1690,4.4,3265
womens-shoes,Calvin Klein Heel Shoes,https://cdn.dummyjson.com/product-images/womens-shoes/calvin-klein-heel-shoes/thumbnail.webp,7778,3.8,2133
womens-shoes,Golden Shoes Woman,https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp,7400,3.9,2015
womens-shoes,Pampi Shoes,https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp,2057,4.3,4383
womens-shoes,Red Shoes,https://cdn.dummyjson.com/product-images/womens-shoes/red-shoes/thumbnail.webp,3389,4.0,3443
